TckrSymb,0FUT ,"CE,ATM ","CE,I 1-5 ","CE,I >5 ","CE,O 1-5 ","CE,O >5 ","PE,ATM ","PE,I 1-5 ","PE,I >5 ","PE,O 1-5 ","PE,O >5 ",UndrlygPric,TradDt
NBCC,121,17,1,-2,7,9,19,-1,1,18,33,84.41,2025-04-03
NCC,16,14,33,11,73,170,50,94,12,132,101,209.5,2025-03-28
NCC,94,4,-78,10,135,-10,50,50,2,124,663,213.25,2025-04-01
NCC,233,19,-104,9,183,58,90,19,7,208,-3,214,2025-04-02
NCC,-99,-9,-140,-2,448,242,149,24,0,42,-65,214.85,2025-04-03
NESTLEIND,36,114,54,9,740,647,236,276,42,233,572,2250.75,2025-03-28
NESTLEIND,428,54,38,3,255,383,13,-137,24,99,567,2233.95,2025-04-01
NESTLEIND,-331,309,439,14,725,378,60,-83,28,884,832,2210.7,2025-04-02
NESTLEIND,-531,-20,-40,-10,675,-26,96,-2,-1,158,171,2245.9,2025-04-03
NHPC,1182,30,91,8,846,1338,79,527,70,343,144,82.2,2025-03-28
NHPC,-431,42,-12,2,160,-40,10,25,5,22,86,82.14,2025-04-01
NHPC,-434,-19,28,2,-62,-214,-3,38,-24,58,24,83.69,2025-04-02
NHPC,-161,14,-3,1,24,-41,-13,4,-4,43,-60,84.53,2025-04-03
NMDC,-163,33,28,47,254,873,79,45,91,66,399,68.89,2025-03-28
NMDC,337,36,79,-12,392,323,73,27,47,153,455,69.77,2025-04-01
NMDC,-74,45,62,-1,79,63,13,20,-37,127,134,70.21,2025-04-02
NMDC,195,59,-90,3,120,201,5,23,-9,66,137,70.43,2025-04-03
NTPC,-406,110,128,16,3805,1214,730,96,143,472,810,357.6,2025-03-28
NTPC,-3466,210,248,-27,5195,1113,245,311,29,586,-1,352.15,2025-04-01
NTPC,816,-127,45,57,463,553,-154,-20,6,-29,78,351.75,2025-04-02
NTPC,-397,-19,-15,-11,7064,735,-15,444,15,704,90,358.9,2025-04-03
NYKAA,662,51,49,3,650,163,70,29,4,489,139,179.1,2025-03-28
NYKAA,312,11,9,0,179,23,34,2,0,3,44,179.85,2025-04-01
NYKAA,5,8,-6,2,-23,103,27,13,3,-19,30,179.9,2025-04-02
NYKAA,-247,-1,0,0,58,-7,-2,11,12,-6,10,179.35,2025-04-03
OBEROIRLTY,-60,5,19,0,253,268,109,102,19,299,132,1637.35,2025-03-28
OBEROIRLTY,360,46,58,0,227,349,72,46,64,214,280,1573.95,2025-04-01
OBEROIRLTY,-27,16,60,84,58,31,-7,30,5,72,24,1621.2,2025-04-02
OBEROIRLTY,121,16,-25,0,-32,33,-42,-1,-3,-26,207,1591,2025-04-03
OFSS,344,67,45,32,457,339,92,-6,105,311,250,7850.7,2025-03-28
OFSS,122,61,27,2,221,546,54,-14,30,406,227,7585.3,2025-04-01
OFSS,280,14,18,-23,425,21,-2,7,-11,240,288,7766.85,2025-04-02
OFSS,116,134,48,11,407,703,338,30,6,382,229,7581.5,2025-04-03
OIL,-47,31,26,0,504,136,38,35,1,170,12,386.75,2025-03-28
OIL,146,0,16,,-8,20,40,45,0,-50,18,385.45,2025-04-01
OIL,-149,0,47,0,90,32,25,0,0,115,12,392.1,2025-04-02
OIL,-199,11,22,,140,-7,0,4,1,15,12,386.05,2025-04-03
ONGC,5504,-266,-314,-11,7532,6346,178,1320,690,881,346,246.4,2025-03-28
ONGC,702,229,635,-51,7668,1527,402,406,10,972,326,248.1,2025-04-01
ONGC,-1169,606,110,-8,5824,800,277,724,-6,1211,128,250.65,2025-04-02
ONGC,-1724,-81,-37,3,1483,363,47,-1109,-66,-341,458,243.3,2025-04-03
PAGEIND,322,10,26,3,340,642,3,0,4,54,120,42694.65,2025-03-28
PAGEIND,-81,6,11,0,-28,15,0,3,1,74,49,42005.65,2025-04-01
PAGEIND,-455,-12,10,5,-126,77,-8,0,3,127,46,42992.35,2025-04-02
PAGEIND,-113,-45,1,2,-41,-98,22,-1,0,75,-15,43495.7,2025-04-03
PATANJALI,91,103,46,0,652,512,88,2,0,246,813,1808.4,2025-03-28
PATANJALI,-199,-10,-13,0,2,-84,123,99,0,51,244,1801.75,2025-04-01
PATANJALI,-144,-12,-41,0,144,75,3,20,0,70,-32,1824.6,2025-04-02
PATANJALI,1093,39,-25,6,686,1039,28,147,1,244,-170,1878.75,2025-04-03
PAYTM,-1500,67,59,12,1806,527,109,276,,557,59,783.45,2025-03-28
PAYTM,-1726,520,-10,41,1009,,55,63,,752,275,801.1,2025-04-01
PAYTM,-1655,-49,180,4,21,,75,3,,177,-48,817.95,2025-04-02
PAYTM,-1198,-137,-313,1,934,,226,6,,456,30,836.45,2025-04-03
PEL,-198,6,4,0,39,169,-14,5,0,152,12,987.85,2025-03-28
PEL,-64,7,9,,150,-17,10,25,0,-38,-17,989.05,2025-04-01
PEL,-297,-6,40,0,26,30,1,-2,0,-42,39,1006.05,2025-04-02
PEL,54,62,-29,,170,13,4,9,0,-16,41,1009.35,2025-04-03
PERSISTENT,-111,-3,22,9,634,172,3,153,33,105,196,5513.65,2025-03-28
PERSISTENT,290,85,118,0,869,938,13,-148,-29,663,449,5211.35,2025-04-01
PERSISTENT,356,-24,81,3,-134,216,17,-20,4,624,133,5317.5,2025-04-02
PERSISTENT,3549,130,206,,5755,5022,459,64,-217,2309,1133,4793.2,2025-04-03
PETRONET,60,66,53,0,403,73,30,19,22,225,243,293.6,2025-03-28
PETRONET,-377,7,11,9,51,58,15,20,3,84,94,297.3,2025-04-01
PETRONET,29,19,-5,0,147,162,66,11,5,55,36,298.95,2025-04-02
PETRONET,-101,34,0,3,33,-31,-21,4,1,28,52,298.85,2025-04-03
PFC,-147,13,-161,0,591,559,122,-49,47,126,52,414.25,2025-03-28
PFC,658,28,146,7,865,-8,26,14,3,719,76,404.7,2025-04-01
PFC,-676,235,-179,0,391,264,-36,-75,1,287,144,415.85,2025-04-02
PFC,9,-128,-288,10,357,144,1,-11,-6,158,-185,421.35,2025-04-03
PHOENIXLTD,59,-9,17,,161,27,6,17,,78,0,1643.25,2025-03-28
PHOENIXLTD,-101,46,,17,,-17,0,,4,,-9,1601.1,2025-04-01
PHOENIXLTD,290,-10,,-2,,242,56,,3,,-24,1647.05,2025-04-02
PHOENIXLTD,-33,-6,,-2,,45,-9,,0,,10,1630.9,2025-04-03
PIDILITIND,-103,18,-3,25,72,216,35,24,31,210,103,2849.3,2025-03-28
PIDILITIND,25,16,6,0,122,337,60,71,3,65,22,2826.55,2025-04-01
PIDILITIND,-48,8,-3,5,-11,-25,4,-9,-1,64,19,2850.9,2025-04-02
PIDILITIND,245,4,-7,-1,19,8,3,-15,2,-26,-23,2861.5,2025-04-03
PIIND,23,16,64,1,159,66,50,76,24,159,61,3428.1,2025-03-28
PIIND,314,44,8,0,283,130,100,41,15,177,163,3450.4,2025-04-01
PIIND,105,37,80,-1,52,43,11,2,0,161,179,3501.6,2025-04-02
PIIND,-57,-11,35,2,-32,6,-54,-18,-2,-49,41,3453.35,2025-04-03
PNB,212,46,69,55,534,259,90,383,29,396,90,96.13,2025-03-28
PNB,-128,13,34,51,317,316,53,82,1,-84,236,96.24,2025-04-01
PNB,-141,-1,-28,28,157,118,12,34,3,211,172,97.34,2025-04-02
PNB,-385,-121,-369,-54,403,481,97,94,30,598,270,99,2025-04-03
PNBHOUSING,838,0,,2,,117,7,,0,,39,881.5,2025-03-28
PNBHOUSING,457,16,,0,,60,7,,33,,75,872.95,2025-04-01
PNBHOUSING,749,64,64,0,381,0,17,12,0,127,14,917.1,2025-04-02
PNBHOUSING,343,41,106,0,555,178,42,11,,296,47,937.35,2025-04-03
POLICYBZR,-336,12,16,8,181,228,-68,67,7,361,178,1589.75,2025-03-28
POLICYBZR,739,25,19,18,55,213,33,-297,11,83,139,1514.6,2025-04-01
POLICYBZR,796,22,112,12,73,13,0,2,-2,179,83,1581.75,2025-04-02
POLICYBZR,213,22,22,6,34,-47,7,15,7,52,-53,1566.3,2025-04-03
POLYCAB,643,25,-12,2,368,424,8,2,16,5,-107,5147.95,2025-03-28
POLYCAB,98,7,-6,0,423,54,29,-11,-1,40,-17,5102.45,2025-04-01
POLYCAB,771,-464,41,162,7,216,112,72,2,574,-44,5285.8,2025-04-02
POLYCAB,1014,170,-10,-171,477,268,-22,23,3,-30,24,5203.75,2025-04-03
POONAWALLA,63,35,91,27,-20,61,0,1,0,70,103,350.45,2025-03-28
POONAWALLA,318,0,21,9,151,68,16,1,1,80,41,349.4,2025-04-01
POONAWALLA,14,5,-2,0,-149,6,2,0,0,50,-27,348.25,2025-04-02
POONAWALLA,68,111,43,23,92,412,0,27,,284,152,362.5,2025-04-03
POWERGRID,-657,172,156,72,678,611,67,48,36,540,380,290.35,2025-03-28
POWERGRID,340,14,50,1,1681,528,7,125,22,106,98,289.3,2025-04-01
POWERGRID,-137,69,39,5,242,849,20,-16,11,144,144,286.75,2025-04-02
POWERGRID,-820,314,-30,-11,2360,1114,327,118,-19,1260,379,299.1,2025-04-03
PRESTIGE,112,8,54,0,184,141,88,38,1,51,193,1184.4,2025-03-28
PRESTIGE,547,15,40,,195,339,49,133,36,146,238,1137.35,2025-04-01
PRESTIGE,209,6,-17,7,81,-17,35,54,4,-6,44,1177.65,2025-04-02
PRESTIGE,296,24,30,0,133,159,-56,-16,0,7,-48,1188.55,2025-04-03
RAMCOCEM,-438,24,48,0,1324,718,200,22,5,362,352,896.8,2025-03-28
RAMCOCEM,-267,26,9,2,-319,2,-1,7,0,129,76,901.15,2025-04-01
RAMCOCEM,1,-47,-156,-1,-228,394,0,89,0,500,13,916.7,2025-04-02
RAMCOCEM,-192,15,-90,1,-65,105,95,18,0,1684,147,941.4,2025-04-03
RBLBANK,383,12,38,-1,143,250,52,185,48,180,200,173.55,2025-03-28
RBLBANK,-77,-4,-2,10,46,217,5,49,9,91,15,176.25,2025-04-01
RBLBANK,-624,56,19,5,214,353,40,-5,53,325,247,171.35,2025-04-02
RBLBANK,42,69,-40,11,215,203,70,14,14,164,11,175.4,2025-04-03
RECLTD,-137,-11,70,22,106,392,100,163,48,241,78,429.2,2025-03-28
RECLTD,-2053,23,135,11,1510,281,498,-161,20,582,187,416.9,2025-04-01
RECLTD,-5007,162,64,2,290,178,-3,-91,-1,535,111,424.55,2025-04-02
RECLTD,1917,87,15,7,1681,343,488,89,5,896,159,425.45,2025-04-03
RELIANCE,411,373,319,567,2307,7124,140,983,275,1311,5009,1275.1,2025-03-28
RELIANCE,2518,153,499,349,10869,642,279,-1101,24,697,630,1252.6,2025-04-01
RELIANCE,-3260,1134,181,114,8534,2747,262,-241,85,379,778,1251.15,2025-04-02
RELIANCE,-1241,572,130,-133,3242,2251,535,-247,255,405,571,1248.7,2025-04-03
SAIL,1215,61,144,0,628,171,55,277,19,547,255,115.15,2025-03-28
SAIL,79,-87,168,0,1037,66,103,178,-13,335,114,116.9,2025-04-01
SAIL,-753,36,-18,52,838,133,-9,63,,130,133,118.7,2025-04-02
SAIL,-339,50,-121,0,-25,-55,51,114,,308,84,118.55,2025-04-03
SBICARD,299,37,66,307,546,810,8,162,12,565,879,881.15,2025-03-28
SBICARD,-287,-17,-138,-4,-25,234,-22,-125,58,434,259,862.1,2025-04-01
SBICARD,-127,10,20,4,165,47,91,-9,61,49,209,857,2025-04-02
SBICARD,-233,65,18,-2,249,209,3,-29,6,161,127,850.3,2025-04-03
SBILIFE,285,20,46,1,622,391,131,22,12,345,253,1547.85,2025-03-28
SBILIFE,283,68,23,-2,1564,374,30,100,15,294,263,1545.25,2025-04-01
SBILIFE,-420,52,30,2,1181,234,134,61,0,205,118,1559.85,2025-04-02
SBILIFE,67,146,124,0,2582,549,20,71,0,348,-49,1542.2,2025-04-03
SBIN,-649,562,-176,23,3361,1454,479,83,33,1648,1399,771.5,2025-03-28
SBIN,175,452,-142,-64,2307,-883,-11,161,27,638,-16,771.7,2025-04-01
SBIN,-1258,147,14,-9,1573,828,68,-23,-8,-146,738,775.95,2025-04-02
SBIN,1145,-785,441,-1,2412,1566,782,510,-7,364,813,779.2,2025-04-03
SHREECEM,-328,-13,-54,3,135,325,27,154,2,213,316,30502.95,2025-03-28
SHREECEM,-32,-26,1,2,47,130,1,45,5,19,46,30245.95,2025-04-01
SHREECEM,-627,21,18,0,-16,22,-1,3,2,-2,31,30273.35,2025-04-02
SHREECEM,-37,1,4,0,67,67,-5,1,0,86,209,30901.95,2025-04-03
SHRIRAMFIN,-308,62,107,0,1037,613,207,198,2,490,395,656,2025-03-28
SHRIRAMFIN,976,84,37,0,444,2199,222,-97,5,380,26,637.45,2025-04-01
SHRIRAMFIN,225,32,53,5,468,-50,19,57,0,122,19,639.4,2025-04-02
SHRIRAMFIN,114,48,-35,6,155,-126,-8,-8,3,5,4,654.15,2025-04-03
SIEMENS,-1379,534,299,0,4038,2313,-69,124,6,1043,964,5275.35,2025-03-28
SIEMENS,-1476,80,73,0,1320,1218,83,59,5,1160,136,5229.95,2025-04-01
SIEMENS,-1122,227,178,0,4972,892,1136,-86,-8,3794,735,5282.85,2025-04-02
SIEMENS,-6170,-405,-222,0,87,3531,-785,-340,-43,-671,1405,5248.55,2025-04-03
SJVN,46,1,39,39,300,369,0,151,76,47,147,91.59,2025-03-28
SJVN,6,0,55,-1,70,43,0,0,10,37,89,91.29,2025-04-01
SJVN,18,9,122,7,32,67,-3,-13,-4,22,67,93.32,2025-04-02
SJVN,-32,-34,-13,-28,99,-38,4,-8,-4,52,6,95.77,2025-04-03
SOLARINDS,-99,12,-49,22,52,4,0,0,0,62,69,11243.95,2025-03-28
SOLARINDS,11,-5,-43,7,337,413,41,129,0,192,131,11132.35,2025-04-01
SOLARINDS,25,31,34,-1,-20,48,22,-3,0,131,191,11195.05,2025-04-02
SOLARINDS,-28,6,-16,-2,-50,9,2,2,,16,12,11293.6,2025-04-03
SONACOMS,-262,188,58,0,505,157,49,23,4,293,105,461.2,2025-03-28
SONACOMS,-287,70,24,1,100,84,16,63,0,170,18,461,2025-04-01
SONACOMS,-533,-16,25,0,116,69,12,8,0,2,55,465.65,2025-04-02
SONACOMS,186,61,75,4,418,99,-87,36,4,241,90,450.15,2025-04-03
SRF,-90,0,4,5,217,418,12,10,5,58,159,2939.15,2025-03-28
SRF,399,1,14,-2,187,194,9,89,2,62,207,2879.45,2025-04-01
SRF,450,16,52,94,273,759,70,-1,4,254,740,2981.6,2025-04-02
SRF,1117,367,347,70,365,591,-6,23,13,312,473,2900.8,2025-04-03
SUNPHARMA,888,163,148,7,1734,354,-35,91,9,566,1041,1734.7,2025-03-28
SUNPHARMA,1301,26,145,5,1664,456,75,-277,28,958,1214,1698.3,2025-04-01
SUNPHARMA,396,13,122,1,1311,262,293,-11,1,1025,881,1713.65,2025-04-02
SUNPHARMA,-1111,181,-314,6,9043,2804,621,923,32,2272,-1322,1770,2025-04-03
SUPREMEIND,-90,34,15,0,97,130,9,53,18,280,39,3426.15,2025-03-28
SUPREMEIND,106,7,23,0,370,-5,7,18,3,160,17,3331.75,2025-04-01
SUPREMEIND,577,8,20,2,60,-59,6,4,-2,85,56,3355.15,2025-04-02
SUPREMEIND,37,6,-7,0,259,48,1,-14,0,7,-41,3424.3,2025-04-03
SYNGENE,-60,20,25,4,183,218,25,26,34,230,148,726.2,2025-03-28
SYNGENE,-18,2,12,0,109,63,39,20,6,10,127,718.15,2025-04-01
SYNGENE,-92,-21,3,0,115,-4,5,-7,0,142,-22,724.2,2025-04-02
SYNGENE,186,38,-45,6,158,129,108,32,4,67,-103,747.15,2025-04-03
TATACHEM,121,7,39,43,640,559,63,119,26,344,232,864.95,2025-03-28
TATACHEM,-119,98,78,5,354,550,55,-30,14,1506,457,839.75,2025-04-01
TATACHEM,-123,1,48,1,-75,321,5,-9,-5,-127,34,851.5,2025-04-02
TATACHEM,-38,21,10,13,28,185,36,26,4,-198,30,849.85,2025-04-03
TATACOMM,371,16,11,-2,311,70,94,192,-3,76,318,1578.2,2025-03-28
TATACOMM,-386,12,37,1,235,890,45,75,2,171,32,1579.65,2025-04-01
TATACOMM,-554,9,16,3,132,-56,-22,-6,1,6,156,1595.2,2025-04-02
TATACOMM,441,-29,-39,34,155,223,134,-1,1,72,199,1631.25,2025-04-03
TATACONSUM,1077,15,-150,3,1245,1067,124,242,15,691,923,1001.9,2025-03-28
TATACONSUM,448,1,51,2,123,406,0,106,4,0,621,992.25,2025-04-01
TATACONSUM,-833,325,-135,-273,2954,2164,372,319,1,3595,1936,1062.7,2025-04-02
TATACONSUM,-502,135,-145,-30,-244,475,115,22,0,168,22,1071,2025-04-03
TATAELXSI,2583,86,176,23,739,1330,0,58,33,514,754,5214.75,2025-03-28
TATAELXSI,967,67,231,1,379,405,10,-27,13,99,763,5069.6,2025-04-01
TATAELXSI,705,60,-59,0,78,-255,0,24,-8,330,15,5230.1,2025-04-02
TATAELXSI,1569,7,17,0,2,503,-10,13,-5,245,-87,5194.7,2025-04-03
TATAMOTORS,690,-40,191,107,1416,3318,583,269,75,882,1922,674.4,2025-03-28
TATAMOTORS,-793,-98,-32,8,1654,1850,269,105,-31,1296,2017,671.85,2025-04-01
TATAMOTORS,-934,53,-178,1,3898,1109,137,-113,-51,3606,2238,671.9,2025-04-02
TATAMOTORS,4463,1098,200,15,11695,6350,-164,-778,-7,1393,1381,653.95,2025-04-03
TATAPOWER,362,40,95,2,1389,1276,252,413,34,43,433,375.4,2025-03-28
TATAPOWER,-3581,17,17,0,34,724,51,-28,2,265,167,374.75,2025-04-01
TATAPOWER,-2981,225,37,-3,517,142,-26,-1,-13,233,164,378.25,2025-04-02
TATAPOWER,-248,158,-369,0,386,200,35,-29,10,355,272,385.65,2025-04-03
TATASTEEL,-2,75,219,118,591,1632,-12,98,81,401,687,154.25,2025-03-28
TATASTEEL,1337,92,18,-15,1080,5707,52,-13,36,344,732,153.1,2025-04-01
TATASTEEL,-587,-26,27,1,1031,466,117,236,21,309,705,154.7,2025-04-02
TATASTEEL,-37,32,50,-47,832,685,1,244,-24,-124,79,153.6,2025-04-03
TATATECH,696,26,24,30,254,184,26,46,18,159,164,679.65,2025-03-28
TATATECH,901,13,41,-4,99,7,12,34,2,82,103,687.05,2025-04-01
TATATECH,55,6,48,-1,13,-47,8,-15,4,83,-4,687.9,2025-04-02
TATATECH,446,19,45,5,91,60,1,-4,5,32,39,680.05,2025-04-03
TCS,-449,263,126,-9,1318,3782,355,590,274,812,2831,3606.1,2025-03-28
TCS,-8925,347,624,128,1599,1164,315,-87,118,1095,2943,3550.8,2025-04-01
TCS,-1682,139,338,32,1330,2281,6,204,174,360,1269,3543.95,2025-04-02
TCS,1007,1223,235,395,3197,10471,474,1102,-1035,1226,5196,3403.15,2025-04-03
TECHM,-371,55,22,1,538,1154,247,59,20,263,408,1418.25,2025-03-28
TECHM,604,41,55,2,160,364,0,-117,-11,256,385,1395.15,2025-04-01
TECHM,-813,-53,-36,6,126,402,49,37,-2,68,288,1423.05,2025-04-02
TECHM,300,157,61,0,1165,846,193,-18,2,516,358,1369.35,2025-04-03
TIINDIA,-37,-6,-19,0,296,135,20,3,0,43,14,2769.4,2025-03-28
TIINDIA,-221,0,4,,114,-42,-8,8,5,292,3,2694,2025-04-01
TIINDIA,-123,21,3,0,6,2,1,-1,0,-35,2,2732.55,2025-04-02
TIINDIA,-35,0,-2,0,-7,-2,-13,-7,3,-97,-15,2699.65,2025-04-03
TITAGARH,242,10,6,0,951,596,92,195,0,149,67,796.25,2025-03-28
TITAGARH,-82,7,5,,283,89,-10,52,0,0,54,798.5,2025-04-01
TITAGARH,-138,38,15,0,-65,52,-8,6,,67,58,809.95,2025-04-02
TITAGARH,315,-122,-76,0,95,55,10,6,,243,-38,825.75,2025-04-03
TITAN,19,132,288,38,1835,2460,199,448,364,613,1189,3063.35,2025-03-28
TITAN,-462,107,215,15,1459,2377,180,196,-52,367,2118,2986.9,2025-04-01
TITAN,-1234,75,-309,62,-854,576,-13,11,-40,512,552,3098.45,2025-04-02
TITAN,-1192,69,-1412,-125,440,817,192,192,-62,476,-316,3127.5,2025-04-03
TORNTPHARM,175,17,4,0,155,56,26,7,0,52,2,3227.95,2025-03-28
TORNTPHARM,-58,9,15,0,45,55,15,-7,5,97,41,3183.9,2025-04-01
TORNTPHARM,-22,27,7,0,32,58,-4,-5,0,50,32,3207.1,2025-04-02
TORNTPHARM,-56,-1,0,1,210,122,29,22,0,13,-47,3247.9,2025-04-03
TORNTPOWER,244,6,18,0,196,179,53,0,0,71,33,1486.85,2025-03-28
TORNTPOWER,43,15,0,0,9,4,2,2,0,56,57,1500.25,2025-04-01
TORNTPOWER,183,2,9,0,13,8,3,0,0,67,-21,1509.7,2025-04-02
TORNTPOWER,266,24,-34,0,562,55,4,4,0,105,17,1552,2025-04-03
TRENT,624,-83,-26,0,784,730,352,435,117,394,70,5325,2025-03-28
TRENT,207,-294,-1294,36,588,1990,513,228,122,1594,796,5576.75,2025-04-01
TRENT,-2673,246,-543,0,1249,794,373,223,1,1069,614,5682.45,2025-04-02
TRENT,-683,-35,-126,-2,787,-22,78,319,0,197,-53,5675.4,2025-04-03
TVSMOTOR,-240,24,10,0,286,317,24,181,11,169,190,2419.85,2025-03-28
TVSMOTOR,197,25,-24,3,72,321,-32,25,8,20,11,2440.85,2025-04-01
TVSMOTOR,145,3,-105,4,245,569,111,79,3,384,528,2496.05,2025-04-02
TVSMOTOR,-122,38,15,4,81,-45,13,9,0,77,-1,2476.05,2025-04-03
ULTRACEMCO,753,3,-28,29,659,3583,59,115,39,181,326,11509.5,2025-03-28
ULTRACEMCO,293,0,79,2,384,620,73,-2,7,37,679,11378.6,2025-04-01
ULTRACEMCO,610,214,48,0,619,951,59,-74,-10,152,220,11251,2025-04-02
ULTRACEMCO,-888,260,-312,32,440,747,44,159,-4,990,1429,11606.6,2025-04-03
UNIONBANK,387,17,-82,13,130,432,24,92,15,14,145,126.2,2025-03-28
UNIONBANK,10,18,37,24,45,80,-1,8,-9,42,59,124.8,2025-04-01
UNIONBANK,73,16,70,25,42,11,23,87,4,80,0,127.3,2025-04-02
UNIONBANK,1075,41,124,-136,1098,580,21,129,,556,88,131.3,2025-04-03
UNITDSPR,-103,48,22,1,201,101,12,37,1,156,104,1401.3,2025-03-28
UNITDSPR,-24,-49,54,1,208,337,7,12,1,143,15,1406.1,2025-04-01
UNITDSPR,-370,9,-70,-3,139,148,40,24,4,60,116,1434.45,2025-04-02
UNITDSPR,-121,31,-2,0,-26,-12,-3,0,0,-37,-28,1430.15,2025-04-03
UPL,859,171,138,120,1113,989,54,276,17,786,536,636.25,2025-03-28
UPL,-56,2,39,7,118,280,-19,7,3,-69,-3,634.75,2025-04-01
UPL,-357,-54,-54,-1,-102,205,176,3,0,603,215,654.45,2025-04-02
UPL,-65,104,146,4,376,-71,20,5,0,190,112,651.25,2025-04-03
VBL,114,-19,19,2,318,249,14,59,20,213,612,539.65,2025-03-28
VBL,-677,33,-72,35,323,947,64,-4,20,101,30,538.75,2025-04-01
VBL,227,7,44,0,-19,346,13,20,2,110,47,546.9,2025-04-02
VBL,-1260,63,32,8,344,27,109,11,-1,307,19,544.5,2025-04-03
VEDL,-1184,53,116,9,983,307,121,86,11,383,81,463.4,2025-03-28
VEDL,-3180,251,90,,701,-55,38,-17,-4,498,90,457.4,2025-04-01
VEDL,-707,32,19,,843,-2,160,-64,4,275,55,457.65,2025-04-02
VEDL,-1171,90,131,,4495,489,608,124,11,938,75,439.5,2025-04-03
VOLTAS,3130,318,240,58,1371,1041,83,51,55,425,897,1458.7,2025-03-28
VOLTAS,4941,222,351,271,6344,5622,650,66,69,2045,2426,1352.05,2025-04-01
VOLTAS,-2149,454,239,90,41,1267,73,,-24,,1756,1344.8,2025-04-02
VOLTAS,-66,-23,0,25,274,1094,80,-81,16,713,74,1352,2025-04-03
WIPRO,1170,123,83,17,1521,2370,63,438,66,440,626,262.25,2025-03-28
WIPRO,451,31,164,40,252,618,-30,2,5,328,1038,262.6,2025-04-01
WIPRO,-327,-11,,23,,-128,-14,,-45,,129,263.6,2025-04-02
WIPRO,992,257,88,50,982,1147,114,-311,-20,394,480,256.35,2025-04-03
YESBANK,540,82,,4,,785,87,,63,,256,16.88,2025-03-28
YESBANK,-557,46,,-24,,-132,42,,23,,68,17.33,2025-04-01
YESBANK,-144,13,,47,,-39,15,,2,,74,17.4,2025-04-02
YESBANK,126,-13,,88,,582,177,,28,,106,17.95,2025-04-03
ZOMATO,2979,539,457,96,3499,2846,152,346,46,2701,626,201.7,2025-03-28
ZOMATO,1695,321,46,8,1395,476,195,510,11,1667,714,202,2025-04-01
ZOMATO,-2148,-1397,,-1764,,2105,-13,,30,,580,212.05,2025-04-02
ZOMATO,349,-119,-327,29,-593,257,-31,-84,-1,-289,-47,210.9,2025-04-03
ZYDUSLIFE,88,6,25,3,259,367,91,87,9,298,213,886.4,2025-03-28
ZYDUSLIFE,161,68,24,0,512,344,50,60,8,290,399,877.5,2025-04-01
ZYDUSLIFE,-70,-60,,90,,136,5,,2,,346,891.15,2025-04-02
ZYDUSLIFE,194,-177,-6,3,797,1088,95,402,46,15,-187,901.9,2025-04-03